signal,horizon,ic,oos_r2,oos_ic,p_value_ic,a_s_cost_bps,expected_return_bps,survival,n_obs
sma_5,5min,-0.001833936896442303,-8.246988071647365e-05,-0.004701038512159124,0.0806133183657809,2.15,-0.04433130959522662,False,907583
ema_5,5min,-0.0018283797897155393,-8.212203083757252e-05,-0.004697846515247199,0.08151216687996721,2.15,-0.04419883465418621,False,907723
sma_10,5min,-0.0017885725760987815,-7.233301133635628e-05,-0.004662866730742733,0.08842651982773186,2.15,-0.043232958464807764,False,907408
ema_10,5min,-0.0018019782052798316,-7.550457221228157e-05,-0.004648366598961716,0.08601120256373518,2.15,-0.04356060879342895,False,907723
sma_20,5min,-0.00175685232603528,-6.215188020641804e-05,-0.004435797337480652,0.09428439140206701,2.15,-0.0424556628659709,False,907058
ema_20,5min,-0.0017760273652433624,-6.925975558602637e-05,-0.004599660912603804,0.09062687729129548,2.15,-0.04293327912463645,False,907723
sma_50,5min,-0.001776423599858429,-5.992113429753587e-05,-0.004424621487674019,0.09085616921406281,2.15,-0.042924183828942454,False,906030
ema_50,5min,-0.0017437520308098988,-6.124515008165687e-05,-0.004556179915665169,0.09664317921070698,2.15,-0.04215306257550518,False,907723
sma_200,5min,-0.001705796438605495,-6.303256185757888e-05,-0.004187149310290773,0.10542673670891789,2.15,-0.04115596026847397,False,900930
ema_200,5min,-0.001709979640039719,-5.5102540831519775e-05,-0.004460582288493365,0.10327630192739101,2.15,-0.041336656529056826,False,907723
sma_ratio_5_20,5min,-0.019119931317889954,-0.00011790536775646565,-0.00834098185187395,0.0,2.15,-0.4620475756688917,False,907058
sma_ratio_20_50,5min,-0.012999739666916657,-0.0001725009317707915,-0.002549784025241688,0.0,2.15,-0.31411607864002455,False,906030
sma_ratio_50_200,5min,-0.0036594244704308636,-1.2519056638682358e-05,-0.0016256558259840933,0.0005138420004058286,2.15,-0.08829138383807202,False,900930
ema_diff_12_26,5min,-0.010341177927255711,-0.0019668894576043705,-0.007197747567644353,0.0,2.15,-0.2499852688742563,False,907723
macd_line,5min,-0.010341177927255711,-0.0019668894576043705,-0.007197747567644353,0.0,2.15,-0.2499852688742563,False,907723
macd_signal,5min,-0.006915341369559788,-0.0009940136883519468,-0.004176891058048046,4.4391379461217184e-11,2.15,-0.1671698798519207,False,907723
macd_histogram,5min,-0.012687272546272985,-0.0022463848881257853,-0.010869747450525592,0.0,2.15,-0.3066992233449264,False,907723
adx_14,5min,0.002453032956903517,-2.880044979658436e-05,0.00011659027722368407,0.019497954243043347,2.15,0.05927803066822724,False,906757
adx_28,5min,0.0023546006776328505,-6.476736024008112e-05,-0.002829980064310478,0.025026809751939272,2.15,0.05688153564023688,False,905826
rsi_7,5min,-0.013826880537520684,-0.0005785929480237595,-0.00440248493535052,0.0,2.15,-0.3338149619374053,False,903125
rsi_14,5min,-0.010880107508274298,-0.0003547457157531131,-0.003612692282986461,0.0,2.15,-0.2629682791261512,False,907198
rsi_28,5min,-0.009757381981464433,-0.0002778431617349586,-0.0034312350531508448,0.0,2.15,-0.23579059935682684,False,906744
rsi_14_zscore,5min,-0.008082973193064575,-0.00021374610621616164,-0.0018683052462303057,1.4876988529977098e-14,2.15,-0.19524970093165356,False,904751
stoch_k,5min,-0.01745702693453078,-0.0014241819518090448,-0.0019829941538994783,0.0,2.15,-0.42192518336241175,False,907262
stoch_d,5min,-0.010137093617715571,-0.00026409069521227124,-0.005013782048251603,0.0,2.15,-0.24500644758973222,False,907190
stoch_diff,5min,-0.01880589093127645,-0.0024383934000482554,0.006340421960388072,0.0,2.15,-0.4545252026458383,False,907190
cci_14,5min,-0.009439369875609007,-0.00015231560567507962,-0.004977538449102456,0.0,2.15,-0.22814315953463593,False,907265
cci_28,5min,-0.007690689229900835,-6.911278047039282e-05,-0.004970182458215265,2.4158453015843406e-13,2.15,-0.18584758527444148,False,906778
roc_5,5min,-0.034766086620109084,-0.0007932089845301693,-0.009654091587392305,0.0,2.15,-0.8403966735217178,False,907554
roc_10,5min,-0.028030123872453492,-0.0003868228398582474,-0.010018250930034072,0.0,2.15,-0.6775381178641069,False,907395
roc_20,5min,-0.026766079285595747,-0.0002985964218844561,-0.010645248671636392,0.0,2.15,-0.6468874465951864,False,907136
williams_r_14,5min,-0.017457026934530766,-0.0014241819518092669,-0.001982994153899478,0.0,2.15,-0.4219251833624114,False,907262
atr_14,5min,0.006149487516609625,-0.00044704820974739157,0.006729905941163723,4.702854772276055e-09,2.15,0.14862983346281144,False,907233
atr_28,5min,0.00434162080260562,-0.00025036035925052325,0.005219735007840323,3.56131197141174e-05,2.15,0.10491680792769405,False,906744
bb_upper,5min,-0.0016907294359840097,-4.919310492867979e-05,-0.004261370010120782,0.10734487014871896,2.15,-0.04085775330570885,False,907058
bb_mid,5min,-0.00175685232603528,-6.215188020641804e-05,-0.004435797337480652,0.09428439140206701,2.15,-0.0424556628659709,False,907058
bb_lower,5min,-0.0018234118821549754,-7.677413041129455e-05,-0.004609756991854217,0.08245619248397773,2.15,-0.04406412479145529,False,907058
bb_width,5min,0.014743147404120797,0.00013199245406014803,0.012434912741141085,0.0,2.15,0.3562792879611083,False,907058
bb_percent_b,5min,-0.012741659555839646,-0.0005225864708824357,-0.002933614293391058,0.0,2.15,-0.30791182300249936,False,907058
natr_14,5min,0.016544916650508838,-4.830243500442144e-05,0.009410085381280565,0.0,2.15,0.39988181125326905,False,907233
obv,5min,0.0010968891868444253,-3.964712306459006e-06,0.0007701923435942138,0.29599776147978485,2.15,0.026515948205074105,False,907723
obv_roc,5min,-0.0053649396717239655,-6.462753525005027e-06,0.013072770512567573,3.198113771585298e-07,2.15,-0.12968918354378942,False,907699
mfi_14,5min,0.0023046003413430545,-2.916945773812074e-05,0.00014678082024548427,0.02863635520249752,2.15,0.05528680670685616,False,901747
